Step,AgentID,State,Cost so far,Collisions detected,Emergency breaks
0.0,1,"((10, 1), 0.0, 1, 2)",0.0,0,0
0.0,2,"((1, 10), 0.0, 3, 2)",0.0,0,0
0.0,3,"((1, 1), 0.0, 2, 2)",0.0,0,0
1.0,1,"((10, 1), 1.0, 1, 0)",0.4,1,1
1.0,2,"((4, 10), 1.0, 3, 3)",0.8,0,0
1.0,3,"((4, 4), 1.0, 2, 3)",1.05,1,0
2.0,1,"((10, 1), 2.0, 1, 0)",0.4,2,2
2.0,2,"((7, 9), 2.0, 4, 3)",1.43,2,0
2.0,3,"((6, 7), 2.0, 1, 3)",1.77,2,0
3.0,1,"((10, 2), 3.0, 1, 1)",0.8,2,2
3.0,2,"((10, 7), 3.0, 3, 3)",2.15,2,0
3.0,3,"((7, 10), 3.0, 2, 3)",2.4,2,0
4.0,1,"((10, 4), 4.0, 1, 2)",1.4,2,2
4.0,2,"((13, 8), 4.0, 2, 3)",2.79,2,0
4.0,3,"((10, 13), 4.0, 2, 3)",3.25,2,0
5.0,1,"((10, 7), 5.0, 1, 3)",2.2,2,2
5.0,2,"((16, 10), 5.0, 3, 3)",3.51,2,0
5.0,3,"((13, 16), 5.0, 2, 3)",4.1,2,0
6.0,1,"((10, 10), 6.0, 1, 3)",2.8,2,2
6.0,2,"((18, 10), 6.0, 3, 2)",4.11,2,0
6.0,3,"((16, 18), 6.0, 3, 3)",4.82,2,0
7.0,1,"((10, 13), 7.0, 1, 3)",3.4,2,2
7.0,2,"((18, 10), 7.0, 3, 2)",4.11,2,0
7.0,3,"((18, 18), 7.0, 3, 2)",5.42,2,0
8.0,1,"((10, 16), 8.0, 1, 3)",4.0,2,2
8.0,2,"((18, 10), 8.0, 3, 2)",4.11,2,0
8.0,3,"((18, 18), 8.0, 3, 2)",5.42,2,0
9.0,1,"((10, 18), 9.0, 1, 2)",4.6,2,2
9.0,2,"((18, 10), 9.0, 3, 2)",4.11,2,0
9.0,3,"((18, 18), 9.0, 3, 2)",5.42,2,0
